2022-08-17 11:02:04.622 -04:00 [DBG] <discover> Refresh requested on schemas: [{"Id":"Contact","Name":"Contact","Description":"","Properties":[],"Count":null,"Sample":[],"Query":"","PublisherMetaJson":"","Errors":[],"DataFlowDirection":0}]
2022-08-17 11:06:48.104 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:48.1042341Z
2022-08-17 11:06:53.123 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:48.1042341Z
2022-08-17 11:06:53.124 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:53.1236889Z
2022-08-17 11:06:58.143 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:53.1236889Z
2022-08-17 11:06:58.143 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:06:58.1430958Z
2022-08-17 11:07:03.168 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:06:58.1430958Z
2022-08-17 11:07:03.169 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:03.1689302Z
2022-08-17 11:07:08.169 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:03.1689302Z
2022-08-17 11:07:08.169 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:08.1691046Z
2022-08-17 11:07:13.171 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:08.1691046Z
2022-08-17 11:07:13.172 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:13.1716934Z
2022-08-17 11:07:18.171 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:13.1716934Z
2022-08-17 11:07:18.172 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:18.1718657Z
2022-08-17 11:07:23.183 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:18.1718657Z
2022-08-17 11:07:23.183 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:23.1833273Z
2022-08-17 11:07:28.190 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:23.1833273Z
2022-08-17 11:07:28.190 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:28.1906731Z
2022-08-17 11:07:33.216 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:28.1906731Z
2022-08-17 11:07:33.217 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:33.2166924Z
2022-08-17 11:07:38.225 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:33.2166924Z
2022-08-17 11:07:38.226 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:38.2259592Z
2022-08-17 11:07:43.242 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:38.2259592Z
2022-08-17 11:07:43.242 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:43.2423898Z
2022-08-17 11:07:48.261 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:43.2423898Z
2022-08-17 11:07:48.261 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:48.2611768Z
2022-08-17 11:07:53.271 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:48.2611768Z
2022-08-17 11:07:53.272 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:53.2717125Z
2022-08-17 11:07:58.292 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:53.2717125Z
2022-08-17 11:07:58.293 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:07:58.2927393Z
2022-08-17 11:08:03.307 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:07:58.2927393Z
2022-08-17 11:08:03.307 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:03.3072351Z
2022-08-17 11:08:08.313 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:03.3072351Z
2022-08-17 11:08:08.313 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:08.3137054Z
2022-08-17 11:08:13.324 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:08.3137054Z
2022-08-17 11:08:13.325 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:13.3249432Z
2022-08-17 11:08:18.341 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:13.3249432Z
2022-08-17 11:08:18.341 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:18.3411407Z
2022-08-17 11:08:23.359 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:18.3411407Z
2022-08-17 11:08:23.359 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:23.3593795Z
2022-08-17 11:08:28.374 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:23.3593795Z
2022-08-17 11:08:28.374 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:28.3744261Z
2022-08-17 11:08:33.388 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:28.3744261Z
2022-08-17 11:08:33.389 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:33.3885196Z
2022-08-17 11:08:38.392 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:33.3885196Z
2022-08-17 11:08:38.392 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:38.3922640Z
2022-08-17 11:08:43.399 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:38.3922640Z
2022-08-17 11:08:43.400 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:43.3999938Z
2022-08-17 11:08:48.409 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:43.3999938Z
2022-08-17 11:08:48.410 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:48.4096762Z
2022-08-17 11:08:53.421 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:48.4096762Z
2022-08-17 11:08:53.421 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:53.4213968Z
2022-08-17 11:08:58.429 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:53.4213968Z
2022-08-17 11:08:58.430 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:08:58.4297788Z
2022-08-17 11:09:03.443 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:08:58.4297788Z
2022-08-17 11:09:03.443 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:03.4433147Z
2022-08-17 11:09:08.455 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:03.4433147Z
2022-08-17 11:09:08.456 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:08.4558716Z
2022-08-17 11:09:13.473 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:08.4558716Z
2022-08-17 11:09:13.473 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:13.4736569Z
2022-08-17 11:09:18.498 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:13.4736569Z
2022-08-17 11:09:18.498 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:18.4986253Z
2022-08-17 11:09:23.505 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:18.4986253Z
2022-08-17 11:09:23.506 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:23.5055988Z
2022-08-17 11:09:28.519 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:23.5055988Z
2022-08-17 11:09:28.519 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:28.5190793Z
2022-08-17 11:09:33.545 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:28.5190793Z
2022-08-17 11:09:33.546 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:33.5458631Z
2022-08-17 11:09:38.564 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:33.5458631Z
2022-08-17 11:09:38.574 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:38.5645439Z
2022-08-17 11:09:43.610 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:38.5645439Z
2022-08-17 11:09:43.614 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:43.6108391Z
2022-08-17 11:09:48.629 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:43.6108391Z
2022-08-17 11:09:48.629 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:48.6292037Z
2022-08-17 11:09:53.644 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:48.6292037Z
2022-08-17 11:09:53.645 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:53.6445555Z
2022-08-17 11:09:58.670 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:53.6445555Z
2022-08-17 11:09:58.673 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:09:58.6703349Z
2022-08-17 11:10:03.684 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:09:58.6703349Z
2022-08-17 11:10:03.685 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:03.6843698Z
2022-08-17 11:10:08.700 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:03.6843698Z
2022-08-17 11:10:08.700 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:08.7003710Z
2022-08-17 11:10:13.714 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:08.7003710Z
2022-08-17 11:10:13.715 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:13.7149349Z
2022-08-17 11:10:18.721 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:13.7149349Z
2022-08-17 11:10:18.721 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:18.7215697Z
2022-08-17 11:10:23.737 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:18.7215697Z
2022-08-17 11:10:23.738 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:23.7375194Z
2022-08-17 11:10:28.769 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:23.7375194Z
2022-08-17 11:10:28.771 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:28.7700962Z
2022-08-17 11:10:33.787 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:28.7700962Z
2022-08-17 11:10:33.787 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:33.7870620Z
2022-08-17 11:10:38.800 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:33.7870620Z
2022-08-17 11:10:38.801 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:38.8008120Z
2022-08-17 11:10:43.807 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:38.8008120Z
2022-08-17 11:10:43.807 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:43.8071809Z
2022-08-17 11:10:48.827 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:43.8071809Z
2022-08-17 11:10:48.828 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:48.8275217Z
2022-08-17 11:10:53.828 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:48.8275217Z
2022-08-17 11:10:53.829 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:53.8290082Z
2022-08-17 11:10:58.841 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:53.8290082Z
2022-08-17 11:10:58.842 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:10:58.8417419Z
2022-08-17 11:11:03.853 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:10:58.8417419Z
2022-08-17 11:11:03.854 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:03.8537566Z
2022-08-17 11:11:08.870 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:03.8537566Z
2022-08-17 11:11:08.870 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:08.8700931Z
2022-08-17 11:11:13.873 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:08.8700931Z
2022-08-17 11:11:13.874 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:13.8738016Z
2022-08-17 11:11:18.883 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:13.8738016Z
2022-08-17 11:11:18.889 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:18.8844426Z
2022-08-17 11:11:23.890 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:18.8844426Z
2022-08-17 11:11:23.890 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:23.8904476Z
2022-08-17 11:11:28.892 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:23.8904476Z
2022-08-17 11:11:28.892 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:28.8922061Z
2022-08-17 11:11:33.899 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:28.8922061Z
2022-08-17 11:11:33.900 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:33.8997218Z
2022-08-17 11:11:38.913 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:33.8997218Z
2022-08-17 11:11:38.914 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:38.9136343Z
2022-08-17 11:11:43.913 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:38.9136343Z
2022-08-17 11:11:43.917 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:43.9140220Z
2022-08-17 11:11:48.920 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:43.9140220Z
2022-08-17 11:11:48.920 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:48.9200766Z
2022-08-17 11:11:53.927 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:48.9200766Z
2022-08-17 11:11:53.927 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:53.9272944Z
2022-08-17 11:11:58.948 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:53.9272944Z
2022-08-17 11:11:58.949 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:11:58.9486665Z
2022-08-17 11:12:03.961 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:11:58.9486665Z
2022-08-17 11:12:03.961 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:03.9610902Z
2022-08-17 11:12:08.974 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:03.9610902Z
2022-08-17 11:12:08.975 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:08.9749392Z
2022-08-17 11:12:13.991 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:08.9749392Z
2022-08-17 11:12:13.992 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:13.9917651Z
2022-08-17 11:12:19.012 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:13.9917651Z
2022-08-17 11:12:19.012 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:19.0121151Z
2022-08-17 11:12:24.019 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:19.0121151Z
2022-08-17 11:12:24.020 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:24.0201488Z
2022-08-17 11:12:29.027 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:24.0201488Z
2022-08-17 11:12:29.028 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:29.0280042Z
2022-08-17 11:12:34.046 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:29.0280042Z
2022-08-17 11:12:34.046 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:34.0464705Z
2022-08-17 11:12:39.053 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:34.0464705Z
2022-08-17 11:12:39.053 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:39.0534720Z
2022-08-17 11:12:44.057 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:39.0534720Z
2022-08-17 11:12:44.057 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:44.0570938Z
2022-08-17 11:12:49.062 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:44.0570938Z
2022-08-17 11:12:49.063 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:49.0628886Z
2022-08-17 11:12:54.078 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:49.0628886Z
2022-08-17 11:12:54.079 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:54.0787996Z
2022-08-17 11:12:59.086 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:54.0787996Z
2022-08-17 11:12:59.087 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:12:59.0868935Z
2022-08-17 11:13:04.103 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:12:59.0868935Z
2022-08-17 11:13:04.103 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:04.1031994Z
2022-08-17 11:13:09.115 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:04.1031994Z
2022-08-17 11:13:09.115 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:09.1150891Z
2022-08-17 11:13:14.118 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:09.1150891Z
2022-08-17 11:13:14.118 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:14.1183883Z
2022-08-17 11:13:19.130 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:14.1183883Z
2022-08-17 11:13:19.130 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:19.1301199Z
2022-08-17 11:13:24.154 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:19.1301199Z
2022-08-17 11:13:24.154 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:24.1541410Z
2022-08-17 11:13:29.160 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:24.1541410Z
2022-08-17 11:13:29.160 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:29.1605525Z
2022-08-17 11:13:34.175 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:29.1605525Z
2022-08-17 11:13:34.176 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:34.1755091Z
2022-08-17 11:13:39.188 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:34.1755091Z
2022-08-17 11:13:39.194 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:39.1887077Z
2022-08-17 11:13:44.197 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:39.1887077Z
2022-08-17 11:13:44.198 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:44.1978804Z
2022-08-17 11:13:49.219 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:44.1978804Z
2022-08-17 11:13:49.219 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:49.2192320Z
2022-08-17 11:13:54.227 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:49.2192320Z
2022-08-17 11:13:54.227 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:54.2271221Z
2022-08-17 11:13:59.239 -04:00 [DBG] <test> Getting all records since 2022-08-17T15:13:54.2271221Z
2022-08-17 11:13:59.239 -04:00 [DBG] <test> Got 0 records since 2022-08-17T15:13:59.2392608Z
